Time,Temperature
0,18.09
1,18
2,18.06
3,17.16
4,17.29
5,17.68
6,18.06
7,18.19
8,17.32
9,17.48
10,17.87
11,18.16
12,18.42
13,18.22
14,18.51
15,17.61
16,17.42
17,18
18,18
19,18.38
20,18.61
21,18.93
22,18.64
23,18.38
24,18.77
25,18.67
26,19.09
27,19.35
28,19.58
29,19.93
30,20.06
31,20.09
32,19.93
33,20.09
34,19.93
35,21
36,21.03
37,20.64
38,21.51
39,21.67
40,21.87
41,21
42,21.87
43,22.35
44,22.38
45,22.09
46,22.03
47,22.38
48,23.25
49,23.41
50,23.32
51,23.09
52,23.54
53,23.99
54,24.38
55,24.67
56,24.44
57,24.99
58,25.22
59,25.28
60,25.09
61,25.6
62,25.54
63,25.47
64,25.47
65,25.41
66,26.51
67,26.57
68,26.57
69,26.76
70,27.09
71,26.83
72,26.6
73,27.99
74,27.09
75,27.6
76,28.25
77,28.47
78,27.7
79,28.86
80,29.02
81,29.21
82,29.28
83,29.05
84,29.34
85,29.44
86,29.08
87,29.12
88,29.57
89,30.57
90,30.76
91,30.89
92,31.08
93,31.11
94,31.21
95,31.57
96,30.89
97,31.4
98,31.92
99,31.69
100,31.37
101,31.98
102,32.5
103,32.66
104,31.73
105,31.92
106,32.34
107,32.08
108,32.73
109,32.4
110,32.6
111,33.31
112,32.95
113,33.21
114,34.05
115,34.27
116,34.01
117,33.85
118,33.95
119,33.92
120,33.98
121,35.08
122,34.98
123,34.79
124,35.21
125,34.85
126,35.79
127,36.04
128,35.59
129,35.72
130,35.66
131,35.34
132,36.04
133,36.53
134,36.79
135,36.82
136,36.46
137,36.14
138,35.98
139,36.4
140,37.33
141,37.24
142,37.08
143,36.79
144,37.59
145,37.82
146,37.88
147,37.59
148,37.24
149,38.33
150,38.49
151,38.49
152,38.2
153,38.62
154,38.95
155,38.66
156,38.11
157,39.14
158,39.11
159,38.66
160,39.49
161,39.62
162,39.04
163,39.78
164,39.49
165,39.2
166,39.46
167,40.17
168,39.91
169,39.27
170,40.36
171,39.94
172,40.11
173,40.72
174,40.07
175,39.91
176,40.78
177,40.59
178,40.4
179,41.23
180,40.62
181,41.23
182,41.46
183,41.36
184,41.23
185,41.39
186,41.23
187,41.94
188,42.01
189,41.94
190,41.36
191,42.26
192,42.2
193,42.04
194,41.97
195,41.65
196,41.91
197,42.68
198,42.62
199,42.3
200,41.72
201,42.36
202,42.39
203,42.59
204,42.23
205,42.91
206,42.97
207,42.94
208,42.65
209,42.33
210,42.52
211,43.17
212,42.91
213,42.52
214,42.17
215,42.97
216,42.49
217,42.39
218,42.68
219,42.68
220,41.75
221,42.07
222,42.39
223,42.75
224,42.75
225,42.36
226,42.07
227,41.62
228,42.33
229,42.33
230,41.52
231,41.36
232,42.3
233,41.88
234,41.62
235,41.46
236,41.81
237,41.23
238,41.65
239,41.68
240,41.1
241,40.65
242,41.52
243,40.91
244,41.01
245,41.04
246,40.33
247,40.62
248,40.91
249,39.75
250,40.85
251,40.75
252,40.36
253,40.01
254,40.52
255,39.59
256,40.33
257,39.59
258,40.14
259,39.4
260,39.04
261,39.72
262,39.4
263,39.53
264,39.36
265,39.49
266,39.11
267,38.98
268,39.43
269,39.24
270,39.01
271,38.56
272,38.59
273,38.56
274,38.91
275,38.46
276,38.69
277,38.27
278,38.08
279,38.69
280,38.53
281,37.79
282,38.24
283,37.79
284,37.79
285,38.27
286,38.11
287,37.91
288,38.08
289,37.85
290,37.04
291,37.79
292,37.04
293,37.3
294,37.3
295,37.3
296,36.43
297,37.04
298,36.88
299,36.27
300,36.24
301,37.08
302,36.4
303,36.46
304,36.69
305,36.79
306,36.79
307,36.37
308,36.3
309,36.53
310,36.17
311,35.5
312,36.46
313,35.3
314,36.24
315,35.75
316,35.98
317,35.24
318,35.92
319,36.01
320,35.98
321,34.76
322,35.3
323,35.79
324,34.76
325,35.14
326,34.59
327,34.88
328,35.56
329,34.76
330,35.11
331,34.88
332,34.92
333,35.34
334,35.34
335,34.98
336,34.53
337,34.66
338,34.63
339,35.17
340,34.47
341,34.05
342,34.37
343,34.88
344,34.79
345,33.92
346,34.08
347,34.53
348,34.11
349,34.34
350,34.56
351,33.85
352,34.47
353,33.34
354,33.66
355,34.18
356,34.34
357,34.37
358,33.79
359,33.95
360,33.69
361,34.11
362,34.11
363,33.98
364,33.05
365,33.47
366,33.76
367,32.79
368,33.34
369,33.31
370,32.82
371,33.27
372,33.24
373,33.69
374,33.4
375,33.43
376,33.56
377,32.85
378,32.69
379,32.82
380,33.53
381,32.82
382,33.27
383,33.31
384,32.4
385,32.79
386,33.27
387,32.92
388,32.34
389,32.82
390,32.53
391,32.98
392,32.73
393,32.73
394,32.63
395,32.89
396,32.85
397,32.37
398,32.73
399,32.34
400,32.82
401,32.21
402,32.69
403,32.63
404,32.56
405,32.76
406,32.73
407,31.79
408,32.76
409,32.76
410,32.05
411,32.69
412,32.6
413,32.4
414,32.66
415,31.92
416,32.5
417,32.11
418,32.95
419,32.98
420,32.92
421,32.05
422,32.79
423,32.82
424,32.44
425,33.18
426,32.73
427,32.79
428,33.31
429,33.18
430,32.73
431,32.95
432,33.47
433,33.02
434,33.56
435,33.5
436,33.31
437,33.05
438,32.47
439,33.14
440,33.47
441,33.72
442,33.76
443,33.92
444,33.85
445,33.63
446,33.24
447,34.01
448,33.95
449,33.66
450,33.66
451,33.85
452,34.27
453,34.08
454,34.08
455,34.18
456,33.69
457,34.34
458,34.11
459,33.89
460,34.63
461,33.82
462,34.27
463,34.79
464,34.88
465,34.24
466,34.01
467,34.95
468,34.37
469,34.14
470,35.08
471,35.05
472,34.98
473,34.53
474,34.3
475,35.43
476,35.37
477,34.79
478,34.79
479,35.43
480,35.79
481,35.21
482,35.63
483,35.27
484,35.75
485,35.88
486,35.21
487,35.82
488,35.72
489,35.5
490,35.53
491,34.88
492,35.72
493,36.08
494,36.14
495,35.63
496,36.17
497,35.72
498,35.56
499,35.43
500,36.11
501,36.4
502,36.33
503,35.79
504,36.21
505,36.04
506,36.14
507,36.75
508,36.56
509,35.79
510,36.75
511,36.92
512,36.88
513,36.5
514,36.92
515,37.14
516,37.04
517,36.53
518,36.69
519,36.63
520,36.37
521,36.53
522,36.46
523,36.37
524,37.04
525,37.11
526,36.98
527,36.69
528,36.33
529,36.53
530,36.79
531,37.21
532,36.82
533,36.46
534,37.33
535,36.63
536,36.17
537,36.72
538,37.37
539,36.21
540,37.17
541,36.95
542,36.53
543,37.53
544,37.62
545,37.37
546,37.11
547,37.62
548,37.43
549,36.98
550,37.66
551,37.95
552,37.95
553,37.46
554,37.46
555,37.98
556,37.72
557,37.5
558,37.11
559,37.91
560,38.11
561,38.04
562,37.82
563,37.88
564,37.33
565,38.11
566,38.14
567,38.11
568,37.62
569,37.37
570,38.27
571,38.14
572,37.85
573,37.91
574,38.24
575,38.11
576,37.85
577,37.46
578,38.24
579,37.91
580,37.79
581,37.3
582,38.3
583,38.11
584,37.85
585,37.62
586,37.82
587,38.37
588,38.04
589,37.33
590,38.43
591,38.49
592,37.56
593,38.14
594,38.46
595,37.88
596,37.62
597,38.49
598,38.59
599,37.82
600,37.85
